,TPTG,TPCH,TPFC,TPA1,TPA2,TPAB,VLTG,VLCH,VLFC,VLPL,VLAB,IDTG,IDCH,IDFC,IDPL,IDAB,LDTG,LDCH,LDFC,LDPL,LDAB,HDTG,HDCH,HDFC,HDPL,HDA1,HDA2,V1TG,V1CH,V1FC,V1PL,V2TG,V2CH,V2FC,V2PL,V3TG,V3CH,V3FC,V3PL,V4TG,V4CH,V4FC,V4PL,V5TG,V5CH,V5FC,V5PL,V6TG,V6CH,V6FC,V6PL,L1TG,L1CH,L1FC,L1PL,L1AB,L2TG,L2CH,L2FC,L2PL,L2AB,L3TG,L3CH,L3FC,L3PL,L3AB,L4TG,L4CH,L4FC,L4PL,L4AB,L5TG,L5CH,L5FC,L5PL,L5AB,L6TG,L6CH,L6FC,L6PL,L6AB,H1TG,H1CH,H1FC,H1PL,H1A1,H1A2,H2TG,H2CH,H2FC,H2PL,H2A1,H2A2,H3TG,H3CH,H3FC,H3PL,H3A1,H3A2,H4TG,H4CH,H4FC,H4PL,H4A1,H4A2
TPTG,1,0.4154,0.4376,0.0188,0.3077,0.5502,0.9761,0.9193,0.9514,0.8828,0.9097,0.9359,0.6955,0.6274,0.8358,0.6869,0.5696,0.1263,0.0374,0.1229,0.3586,0.3712,-0.2348,-0.144,-0.1168,-0.033,0.3868,0.9361,0.9312,0.9069,0.8947,0.8645,0.8849,0.8942,0.8757,0.8246,0.8329,0.9162,0.8371,0.7203,0.6541,0.7522,0.6952,0.4847,0.0537,0.5349,0.3156,0.3436,-0.1676,0.2505,0.9565,0.445,-0.0932,0.0092,-0.0735,-0.0079,0.0635,-0.4269,-0.4362,-0.3984,-0.394,0.0578,-0.3278,-0.3941,-0.3382,-0.2829,0.2936,0.0836,0.0431,0.0814,0.1738,0.6585,0.462,0.5024,0.4413,0.5535,0.6717,0.6304,0.4513,0.6412,0.7242,0.152,-0.2185,-0.1925,-0.1715,-0.2414,0.0213,0.2686,-0.1737,-0.0576,0.0633,-0.0334,0.2853,0.4883,-0.0044,-0.0356,0.1273,0.1471,0.3756,0.4465,-0.0471,-0.0263,0.0488,0.1291,0.2391
TPCH,0.4154,1,0.9441,0.3905,0.4144,0.8768,0.3647,0.43,0.4494,0.3419,0.425,0.3298,0.588,0.588,0.5582,0.532,0.515,0.8725,0.8499,0.8739,0.8903,0.0043,0.2871,0.4049,0.1947,0.3558,0.44,0.2497,0.299,0.2495,0.2231,0.4195,0.4608,0.4091,0.3809,0.4569,0.4495,0.4214,0.3848,0.4086,0.4774,0.4726,0.425,0.2851,0.0334,0.1314,0.1555,0.2296,-0.1575,0.1616,0.5823,0.3907,0.5669,0.7206,0.5553,0.5881,0.3995,0.1974,0.3343,0.1766,0.2027,0.3103,0.3146,0.5264,0.3123,0.3365,0.3454,0.4352,0.6609,0.4181,0.4417,0.4339,0.4297,0.6017,0.4041,0.4773,0.455,0.5549,0.5684,0.5609,0.5357,-0.0277,0.1323,0.2452,0.0753,-0.002,0.0846,-0.0486,0.1162,0.2824,0.1688,0.122,0.1844,0.0343,0.3082,0.4255,0.2384,0.2856,0.2687,0.0534,0.3249,0.4462,0.2128,0.4498,0.37
TPFC,0.4376,0.9441,1,0.3242,0.2953,0.8721,0.3958,0.4282,0.4681,0.3553,0.4451,0.3298,0.5809,0.517,0.5256,0.506,0.5213,0.8281,0.8477,0.8217,0.8804,0.0095,0.2098,0.4174,0.1162,0.2902,0.3263,0.2858,0.3212,0.2729,0.2418,0.4545,0.4763,0.4395,0.4012,0.4799,0.4547,0.4424,0.3956,0.3953,0.4397,0.4543,0.3954,0.2676,-0.0629,0.1177,0.11,0.1864,-0.18,0.1409,0.5611,0.3588,0.4601,0.6471,0.4429,0.5041,0.3871,0.1449,0.2914,0.1112,0.164,0.3238,0.2667,0.5045,0.2631,0.3037,0.3762,0.4231,0.6613,0.406,0.4394,0.4549,0.4167,0.5968,0.3913,0.4719,0.4395,0.5592,0.561,0.5564,0.5397,0.0208,0.1271,0.26,0.0753,0.0134,0.0739,-0.0407,0.0629,0.2536,0.1228,0.1072,0.1444,0.0252,0.2126,0.4051,0.1585,0.2216,0.1968,0.0241,0.2097,0.4044,0.1013,0.3705,0.2517
TPA1,0.0188,0.3905,0.3242,1,0.7047,0.0469,-0.0762,-0.1107,-0.0612,-0.1373,-0.0587,0.0266,0.0207,0.0217,0.0232,0.091,0.1551,0.1151,0.1388,0.1723,0.0784,0.3363,0.9112,0.859,0.9154,0.9969,0.668,-0.104,-0.1447,-0.1418,-0.1658,-0.0943,-0.117,-0.1509,-0.1678,-0.0391,-0.1117,-0.0936,-0.1072,0.0742,-0.0235,0.0082,0.0123,0.305,0.0156,-0.0742,0.0433,0.1048,0.2529,0.0696,0.1398,0.2046,0.1736,0.259,0.2244,0.2127,0.2077,0.1088,0.2462,0.0985,0.0977,0.0845,0.0771,0.2739,0.1029,0.0588,-0.0125,-0.0933,0.108,-0.077,-0.105,-0.0822,-0.1664,-0.0653,-0.156,-0.1598,0.0954,0.0332,0.1234,0.116,0.0232,0.4812,0.6925,0.7458,0.7186,0.6531,0.6903,0.374,0.8179,0.838,0.8382,0.8325,0.662,0.2427,0.8624,0.8099,0.8026,0.848,0.5554,-0.1184,0.2074,0.4232,0.2198,0.3257,0.1167
TPA2,0.3077,0.4144,0.2953,0.7047,1,0.248,0.2833,0.2421,0.2446,0.2632,0.2225,0.3511,0.2216,0.2404,0.4253,0.2994,0.3202,0.1837,0.1068,0.226,0.2018,0.4042,0.5309,0.4141,0.6114,0.6913,0.9913,0.2334,0.2327,0.2487,0.2411,0.21,0.2044,0.1869,0.1994,0.2403,0.2444,0.2296,0.2368,0.281,0.2132,0.2948,0.2518,0.3112,0.0974,0.2428,0.1416,0.3868,0.365,0.0312,0.4427,0.2831,0.1136,0.1318,0.1532,0.1511,0.1576,-0.0634,0.0021,-0.0301,-0.0574,0.1302,0.0663,0.0746,0.0815,0.0631,0.1929,0.2431,0.2355,0.2601,0.2685,0.1882,0.2705,0.298,0.2778,0.2797,0.1839,0.203,0.23,0.2567,0.2292,0.2106,0.1905,0.2814,0.2502,0.1545,0.4085,0.369,0.5225,0.6476,0.6588,0.5319,0.7328,0.527,0.7876,0.7439,0.7843,0.7839,0.8804,0.3476,0.4212,0.5042,0.5363,0.4472,0.5777
TPAB,0.5502,0.8768,0.8721,0.0469,0.248,1,0.5209,0.5633,0.5801,0.4907,0.5871,0.4359,0.6581,0.6335,0.672,0.6239,0.7022,0.8507,0.796,0.8554,0.9546,0.0365,-0.0968,0.0413,-0.1397,0.0087,0.3019,0.4146,0.4604,0.4303,0.4175,0.5693,0.5988,0.586,0.5517,0.5844,0.593,0.5804,0.5598,0.4848,0.5812,0.5726,0.5346,0.2535,0.0252,0.1897,0.1549,0.2693,-0.1931,0.101,0.6607,0.5021,0.4336,0.5296,0.4204,0.5002,0.446,0.1003,0.1598,0.0989,0.1429,0.468,0.2885,0.3295,0.285,0.3478,0.5378,0.504,0.6708,0.4883,0.5497,0.6655,0.59,0.7595,0.5609,0.6681,0.5792,0.6748,0.6401,0.6516,0.6731,-0.1083,-0.1958,-0.114,-0.2391,-0.3008,-0.1553,-0.0363,-0.2093,-0.0505,-0.1163,-0.1745,0.0299,0.1186,-0.0043,0.1555,0.0015,0.0421,0.1535,0.211,0.234,0.328,0.1544,0.3793,0.4012
VLTG,0.9761,0.3647,0.3958,-0.0762,0.2833,0.5209,1,0.9256,0.9554,0.9351,0.8866,0.9025,0.6301,0.5629,0.7947,0.5949,0.4643,0.1161,0.0205,0.095,0.3318,0.3196,-0.3165,-0.2189,-0.219,-0.1265,0.3605,0.9569,0.9561,0.9439,0.9387,0.8896,0.8947,0.9091,0.9165,0.839,0.8572,0.9268,0.8598,0.6812,0.6087,0.72,0.6495,0.3922,0.0271,0.5691,0.2927,0.3749,-0.1443,0.217,0.9255,0.3117,-0.1519,-0.0571,-0.1495,-0.0859,-0.0351,-0.4517,-0.4767,-0.4226,-0.4262,-0.0251,-0.3353,-0.4194,-0.3528,-0.2971,0.2412,0.1686,0.0461,0.1628,0.2484,0.6253,0.5588,0.549,0.5378,0.6288,0.6269,0.6386,0.4553,0.6374,0.7216,0.0676,-0.2942,-0.2618,-0.2556,-0.3212,-0.0635,0.1974,-0.2579,-0.1343,-0.0282,-0.1235,0.2312,0.4594,-0.0876,-0.0948,0.0405,0.0582,0.3534,0.5078,0.0052,-0.0359,0.1103,0.1348,0.2921
VLCH,0.9193,0.43,0.4282,-0.1107,0.2421,0.5633,0.9256,1,0.9833,0.9483,0.9453,0.8518,0.7811,0.767,0.8848,0.7366,0.5004,0.1657,0.0769,0.154,0.3631,0.3408,-0.3559,-0.2505,-0.2383,-0.162,0.3066,0.8232,0.8966,0.8417,0.835,0.8769,0.944,0.9218,0.9152,0.8925,0.9563,0.9544,0.907,0.8041,0.8158,0.8841,0.8153,0.4948,0.2633,0.6431,0.5144,0.3577,-0.244,0.1043,0.8951,0.3765,-0.0093,0.081,-0.0028,0.0394,0.0096,-0.4206,-0.4453,-0.3848,-0.3941,0.0189,-0.3073,-0.3936,-0.3191,-0.2727,0.3274,0.232,0.076,0.2298,0.3123,0.6702,0.5965,0.5782,0.5805,0.6608,0.5976,0.577,0.4102,0.5703,0.6647,0.0299,-0.3541,-0.312,-0.3093,-0.3634,-0.1287,0.1948,-0.2963,-0.1661,-0.078,-0.1869,0.1562,0.4732,-0.1131,-0.1052,0.007,0.0156,0.3099,0.5931,0.0683,0.0241,0.1924,0.1754,0.3231
VLFC,0.9514,0.4494,0.4681,-0.0612,0.2446,0.5801,0.9554,0.9833,1,0.942,0.963,0.8649,0.753,0.7146,0.8581,0.714,0.4905,0.1734,0.0875,0.1582,0.3778,0.3105,-0.3116,-0.1891,-0.2181,-0.1147,0.3148,0.8626,0.9023,0.8583,0.8499,0.885,0.9311,0.9227,0.9065,0.8983,0.9315,0.964,0.9059,0.8106,0.7824,0.8638,0.8006,0.5279,0.1906,0.6091,0.4702,0.3192,-0.2783,0.1808,0.9117,0.3719,-0.048,0.0629,-0.0427,0.0112,-0.0036,-0.4308,-0.4429,-0.4064,-0.4045,-0.0031,-0.325,-0.3856,-0.3389,-0.292,0.2854,0.1861,0.0838,0.1808,0.2638,0.6506,0.5635,0.5748,0.5419,0.6349,0.6235,0.6247,0.4463,0.6201,0.7065,0.0438,-0.3179,-0.2802,-0.282,-0.3424,-0.1142,0.1802,-0.2744,-0.1471,-0.057,-0.1547,0.163,0.4335,-0.0905,-0.0758,0.0247,0.0521,0.294,0.5209,0.0662,0.0541,0.1497,0.2097,0.3125
VLPL,0.8828,0.3419,0.3553,-0.1373,0.2632,0.4907,0.9351,0.9483,0.942,1,0.8751,0.8119,0.6288,0.5962,0.8009,0.5936,0.4171,0.118,0.0231,0.0966,0.3071,0.3567,-0.3648,-0.2707,-0.2575,-0.1835,0.3231,0.8573,0.9097,0.8877,0.8889,0.8388,0.8699,0.8573,0.9,0.8285,0.9033,0.9001,0.8593,0.7242,0.6947,0.7919,0.7145,0.4266,0.2614,0.7497,0.4894,0.4368,-0.1316,0.1033,0.8441,0.28,-0.0985,-0.0143,-0.0993,-0.0552,-0.0378,-0.4338,-0.4689,-0.4054,-0.4123,-0.0194,-0.322,-0.4186,-0.3373,-0.2904,0.2868,0.3493,0.0549,0.3478,0.4155,0.6083,0.7035,0.599,0.6948,0.7316,0.5434,0.5576,0.3813,0.5501,0.6302,0.0307,-0.3367,-0.3099,-0.2945,-0.3442,-0.1137,0.1767,-0.2989,-0.1869,-0.0737,-0.1842,0.2074,0.5093,-0.1406,-0.1357,-0.0143,-0.0052,0.3677,0.7077,0.1143,-0.0369,0.303,0.1451,0.3486
