Name,Symbol,Isotopic Symbol,Mass,Abundance
Silver,Ag,Ag(107),106.905095,51.84
Silver,Ag,Ag(109),108.904754,48.16
Aluminum,Al,Al(27),26.981541,100
Argon,Ar,Ar(36),35.967546,0.34
Argon,Ar,Ar(38),37.962732,0.063
Argon,Ar,Ar(40),39.962383,99.6
Arsenic,As,As(75),74.921596,100
Gold,Au,Au(197),196.96656,100
Boron,B,B(10),10.012938,19.8
Boron,B,B(11),11.009305,80.2
Barium,Ba,Ba(130),129.906277,0.11
Barium,Ba,Ba(132),131.905042,0.1
Barium,Ba,Ba(134),133.90449,2.42
Barium,Ba,Ba(135),134.905668,6.59
Barium,Ba,Ba(136),135.904556,7.85
Barium,Ba,Ba(137),136.905816,11.23
Barium,Ba,Ba(138),137.905236,71.7
Beryllium,Be,Be(9),9.012183,100
Bismuth,Bi,Bi(209),208.980388,100
Bromine,Br,Br(79),78.918336,50.69
Bromine,Br,Br(81),80.91629,49.31
Carbon,C,C(12),12,98.9
Carbon,C,C(13),13.003355,1.1
Calcium,Ca,Ca(40),39.962591,96.95
Calcium,Ca,Ca(42),41.958622,0.65
Calcium,Ca,Ca(43),42.95877,0.14
Calcium,Ca,Ca(44),43.955485,2.086
Calcium,Ca,Ca(46),45.953689,0.004
Calcium,Ca,Ca(48),47.952532,0.19
Cadmium,Cd,Cd(106),105.906461,1.25
Cadmium,Cd,Cd(108),107.904186,0.89
Cadmium,Cd,Cd(110),109.903007,12.49
Cadmium,Cd,Cd(111),110.904182,12.8
Cadmium,Cd,Cd(112),111.902761,24.13
Cadmium,Cd,Cd(113),112.904401,12.22
Cadmium,Cd,Cd(114),113.903361,28.73
Cadmium,Cd,Cd(116),115.904758,7.49
Cerium,Ce,Ce(136),135.90714,0.19
Cerium,Ce,Ce(138),137.905996,0.25
Cerium,Ce,Ce(140),139.905442,88.48
Cerium,Ce,Ce(142),141.909249,11.08
Chlorine,Cl,Cl(35),34.968853,75.77
Chlorine,Cl,Cl(37),36.965903,24.23
Cobalt,Co,Co(59),58.933198,100
Chromium,Cr,Cr(50),49.946046,4.35
Chromium,Cr,Cr(52),51.94051,83.79
Chromium,Cr,Cr(53),52.940651,9.5
Chromium,Cr,Cr(54),53.938882,2.36
Cesium,Cs,Cs(133),132.905433,100
Copper,Cu,Cu(63),62.929599,69.17
Copper,Cu,Cu(65),64.927792,30.83
Dysprosium,Dy,Dy(156),155.924287,0.06
Dysprosium,Dy,Dy(158),157.924412,0.1
Dysprosium,Dy,Dy(160),159.925203,2.34
Dysprosium,Dy,Dy(161),160.926939,18.9
Dysprosium,Dy,Dy(162),161.926805,25.5
Dysprosium,Dy,Dy(163),162.928737,24.9
Dysprosium,Dy,Dy(164),163.929183,28.2
Electron,e,e(0),0.00054858026,0
Erbium,Er,Er(162),161.928787,0.14
Erbium,Er,Er(164),163.929211,1.61
Erbium,Er,Er(166),165.930305,33.6
Erbium,Er,Er(167),166.932061,22.95
Erbium,Er,Er(168),167.932383,26.8
Erbium,Er,Er(170),169.935476,14.9
Europium,Eu,Eu(151),150.91986,47.8
Europium,Eu,Eu(153),152.921243,52.2
Fluorine,F,F(19),18.998403,100
Iron,Fe,Fe(54),53.939612,5.8
Iron,Fe,Fe(56),55.934939,91.72
Iron,Fe,Fe(57),56.935396,2.2
Iron,Fe,Fe(58),57.933278,0.28
Gallium,Ga,Ga(69),68.925581,60.1
Gallium,Ga,Ga(71),70.924701,39.9
Gadolinium,Gd,Gd(152),151.919803,0.2
Gadolinium,Gd,Gd(154),153.920876,2.18
Gadolinium,Gd,Gd(155),154.822629,14.8
Gadolinium,Gd,Gd(156),155.92213,20.47
Gadolinium,Gd,Gd(157),156.923967,15.65
Gadolinium,Gd,Gd(158),157.924111,24.84
Gadolinium,Gd,Gd(160),159.927061,21.86
Germanium,Ge,Ge(70),69.92425,20.5
Germanium,Ge,Ge(72),71.92208,27.4
Germanium,Ge,Ge(73),72.923464,7.8
Germanium,Ge,Ge(74),73.921179,36.5
Germanium,Ge,Ge(76),75.921403,7.8
Hydrogen,H,H(1),1.007825,99.99
Hydrogen,H,H(2),2.014102,0.015
Deuterium,D,D(2),2.014102,100
Helium,He,He(3),3.016029,0.000137
Helium,He,He(4),4.002603,99.999863
Hafnium,Hf,Hf(174),173.940065,0.16
Hafnium,Hf,Hf(176),175.94142,5.2
Hafnium,Hf,Hf(177),176.943233,18.6
Hafnium,Hf,Hf(178),177.94371,27.1
Hafnium,Hf,Hf(179),178.945827,13.74
Hafnium,Hf,Hf(180),179.946561,35.2
Mercury,Hg,Hg(196),195.965812,0.15
Mercury,Hg,Hg(198),197.96676,10.1
Mercury,Hg,Hg(199),198.968269,17
Mercury,Hg,Hg(200),199.968316,23.1
Mercury,Hg,Hg(201),200.970293,13.2
Mercury,Hg,Hg(202),201.970632,29.65
Mercury,Hg,Hg(204),203.973481,6.8
Holmium,Ho,Ho(165),164.930332,100
Iodine,I,I(127),126.904477,100
Indium,In,In(113),112.904056,4.3
Indium,In,In(115),114.903875,95.7
Iridium,Ir,Ir(191),190.960603,37.3
Iridium,Ir,Ir(193),192.962942,62.7
Potassium,K,K(39),38.963708,93.2581
Potassium,K,K(40),39.963999,0.0117
Potassium,K,K(41),40.961825,6.7302
Krypton,Kr,Kr(78),77.920397,0.35
Krypton,Kr,Kr(80),79.916375,2.25
Krypton,Kr,Kr(82),81.913483,11.6
Krypton,Kr,Kr(83),82.914134,11.5
Krypton,Kr,Kr(84),83.911506,57
Krypton,Kr,Kr(86),85.910614,17.3
Lanthanum,La,La(138),137.907114,0.09
Lanthanum,La,La(139),138.906355,99.91
Lithium,Li,Li(6),6.015123,7.42
Lithium,Li,Li(7),7.016005,92.58
Lutetium,Lu,Lu(175),174.940785,97.4
Lutetium,Lu,Lu(176),175.942694,2.6
